Title,Tele,Email,Web,Addy,Poblacion,Type,Contact Source
ER Architectes,work: 0033141711731,er-architectes@orange.fr,https://architizer.com/firms/er-architectes/,"Pantin, France",x,Architecture / Design Firm,Architizer
Gottesman-Szmelcman Architecture,x,info@gsarch.org,http://gsarch.org/,"Tel Aviv-Yafo, Israel",x,Architecture / Design Firm,Architizer
fresh architectures,work: +33 1 76 21 51 61,info@fresharchitectures.eu,http://vimeo.com/channels/fresharchitectures/87131176,"10, Rue Mercœur, Paris, France",x,Architecture / Design Firm,Architizer
Mattia Paco Rizzi,x,mattiapacorizzi@gmail.com,http://www.grriz.com/,"Paris, France",x,Architecture / Design Firm,Architizer
THE architectes,fax: +33 9 72 46 58 63 / work: +33 9 72 46 58 53,contact@thearchitectes.com,http://www.thearchitectes.com,"8, Roi Albert Street, Nantes, France",x,Architecture / Design Firm,Architizer
Vous Êtes Ici,work: 0033 1 42 38 23 68,x,http://www.vei.fr/,"Rue Frédérick Lemaître, Paris, France",x,Architecture / Design Firm,Architizer
Mobile Architectural Office,work: 06 89 18 91 17,contact@mobilearchitecturaloffice.com,http://m-a-o.fr,"Paris, France",x,Architecture / Design Firm,Architizer
2A Design,work: +33223301070,infos@2adesign.fr,http://www.2adesign.fr/,"25, Avenue du Général de Gaulle, Chartres-de-Bretagne, France",x,Architecture / Design Firm,Architizer
Atelier MIMA,work: 0285523316,divers@ateliermima.com,http://www.ateliermima.com/,"Rue de Clermont, Nantes, France",x,Architecture / Design Firm,Architizer
Atelier VongDC,work: +33 142 593 840,archi@vongdc.com,http://vongdc.wordpress.com/,"47, Rue de Clignancourt, Paris, France",x,Architecture / Design Firm,Architizer
Groupe H,fax: +41 (0)22 782 07 07 / work: +41 (0)22 782 05 40,architectes-ch@groupe-h.com,http://www.groupe-h.com/,"Bergamo, Italy",x,Architecture / Design Firm,Architizer
Barclay and Crousse Architecture,x,atelier@barclaycrousse.com,https://architizer.com/firms/barclay-crousse-architecture/,"Paris, France",x,Architecture / Design Firm,Architizer
Explorations Architecture,x,contact@explorations-architecture.com,https://explorations-architecture.com/fr/,"1 Bis, Cité Paradis, Paris-10E-Arrondissement, France",x,Architecture / Design Firm,Architizer
Cube architectes,work: +33 (0)6 50 71 62 48,contact@cube-architectes.com,https://architizer.com/firms/cube-architectes/,"Paris, France",x,Architecture / Design Firm,Architizer
ITAR Architectures,fax: (33) 01 43 57 01 66 / work: (33) 01 43 57 44 50,info@itar.fr,http://itar.fr/,"47, Rue des Tournelles, Paris, France",x,Architecture / Design Firm,Architizer
Bruit Du Frigo,work: 0033 (0)5.56.29.57.21 / http://www.bruitdufrigo.com/,contact@bruitdufrigo.com,http://www.bruitdufrigo.com/,"2, Rue Marc Sangnier, Bègles, France",x,Architecture / Design Firm,Architizer
Cambiums,work: +33.(0)4.69.67.34.36 / cell: +33.(0)6.77.97.48.71,atelier@cambiums.com,http://www.cambiums.com/,"Lyon, France",x,Architecture / Design Firm,Architizer
VIB Architecture,work: 01 48 00 92 10,vib@vibarchitecture.com,http://www.vibarchitecture.com/,"8, Rue Henner, Paris, France",x,Architecture / Design Firm,Architizer
Michaël Menuet Architecte,x,contact@michaelmenuet.fr,http://www.michaelmenuet.fr,"73, Rue Sylvabelle, Marseille, France",x,Architecture / Design Firm,Architizer
Kitoko Studio,x,contact@kitoko-studio.com,http://www.kitoko-studio.com,"610, Nathan Road, Kowloon, Hong Kong",x,Architecture / Design Firm,Architizer
Mira,work: +33413201208 / work: +33413201208 / work: +33413201208,contact@ateliermira.fr,https://ateliermira.fr,"6, Rue Venture, Marseille, France",x,Architecture / Design Firm,Architizer
Atelier NEA,x,contact@nathalieeldanarchitecture.com,https://www.nathalieeldanarchitecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier Silhouette Urbaine - ASUr,work: +33 9 84 08 76 96,atelier@silhouette-urbaine.com,http://www.silhouette-urbaine.com,"13, Rue Lacuée, Paris, France",x,Architecture / Design Firm,Architizer
A-P-ARTs,cell: +33614604629,x,http://a-p-arts.com,"Nice, France",x,Architecture / Design Firm,Architizer
Studio Norguet Design,work: +33148072995,info@patricknorguet.com,https://architizer.com/firms/studio-norguet-design/,"38, Rue de Malte, Paris, France",x,Architecture / Design Firm,Architizer
FRES architectes,work: 0033 1 45 42 44 99,atelier@fresarchitectes.com,http://www.fres.fr/index.html,"Paris, France",x,Architecture / Design Firm,Architizer
LES ATELIERS TRISTAN & SAGITTA,http://www.lesatelierstristan.com/,LESATELIERSTRISTAN@GMAIL.COM,http://www.lesatelierstristan.com/,"59, Rue des Petites Écuries, Paris, France",x,Architecture / Design Firm,Architizer
Segond Guyon Architectes,work: +33 (0)4 78 27 49 56,info@segond-guyon.com,http://www.segond-guyon.com/,"Rue Cavenne, Lyon, France",x,Architecture / Design Firm,Architizer
Ubalt ,work: +33 6 30173003,ubalt.architectes@gmail.com,http://www.ubalt-architectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
onSITE,x,x,http://www.onsitearchitecture.com/,"Covington, VA, United States",x,Architecture / Design Firm,Architizer
Julien Kieffer design,cell: +33 786 830 581,contact@julienkieffer.com,http://julienkieffer.com/,France,x,Architecture / Design Firm,Architizer
FLINT,work: +33 5 56 51 74 52,flint@flint.fr,http://www.flint.fr/,"5, Rue Margaux, Bordeaux, France",x,Architecture / Design Firm,Architizer
ng-architecte,work: +33619641279,ng-a@gmx.fr,http://www.ng-architecte.fr/,"Brittany, France",x,Architecture / Design Firm,Architizer
TICA architecture et urbanisme,work: 0033285370153,contact@ticarchitecture.fr,http://www.ticarchitecture.fr/,"6, Rue la Tour d'Auvergne, Nantes, France",x,Architecture / Design Firm,Architizer
Thomas Vajda architectes,x,x,https://architizer.com/firms/thomasvajda-architectes/,"14, Rue Scandicci, Pantin, France",x,Architecture / Design Firm,Architizer
ANTHRACITE ARCHITECTURE 2.0,x,contact@anthracite-architecture.com,http://www.anthracite-architecture.com/index.php,"5, Rue de l'Horloge, Rennes, France",x,Architecture / Design Firm,Architizer
VHA ARCHITECTS,x,vha@vha-architects.com,http://vha-architects.com/en/,"Terrasse de l'Arche, Nanterre, France",x,Architecture / Design Firm,Architizer
109 Architectes Toulouse,http://www.109architectes.fr,x,http://www.109architectes.fr/,"16, Boulevard de Strasbourg, Toulouse, France",x,Architecture / Design Firm,Architizer
anthropie studio,http://anthropie-studio.com,contact@anthropie-studio.com,http://anthropie-studio.com,"Paris, France",x,Architecture / Design Firm,Architizer
Franklin Azzi Architecture,work: + 33 (0)1 40 26 68 21,agence@franklinazzi.fr,http://www.franklinazzi.fr/en,"13, Rue d'Uzès, Paris, France",x,Architecture / Design Firm,Architizer
Christophe Monge - architecte dplg,x,chr.monge@gmail.com,https://architizer.com/firms/christophe-monge-architecte-dplg/,"Marseille, France",x,Architecture / Design Firm,Architizer
169 Architecture,x,contact@169.archi,http://www.169.archi/,"Montreuil, France",x,Architecture / Design Firm,Architizer
jbmn,work: + 41 21 552 27 26 / work: + 33 9 82 29 43 43 / https://www.jbmn.eu/,atelier@jbmn.eu,https://www.jbmn.eu/,"Lausanne, Switzerland",x,Architecture / Design Firm,Architizer
Martinez Barat Lafore Architectes,http://martinezbaratlafore.com,mail@martinezbaratlafore.com,http://martinezbaratlafore.com/,"Ivry-sur-Seine, France",x,Architecture / Design Firm,Architizer
Atelier LAME,x,contact@atelierlame.com,http://www.atelierlame.com/,"Paris, France",x,Architecture / Design Firm,Architizer
KARST architecture,x,contact@karst-architecture.fr,http://karst-architecture.fr/,"Nantes, France",x,Architecture / Design Firm,Architizer
studio mAAb,x,contact@studiomaab.com,http://studiomaab.com/,"Rennes, France",x,Architecture / Design Firm,Architizer
Atelier Gemaile Rechak,cell: 06 83 41 72 93 / work: 01 47 97 59 12,x,https://architizer.com/firms/atelier-gemaile-rechak/,"10, Rue du Liban, Paris, France",x,Architecture / Design Firm,Architizer
Bernard Desmoulin Architecte,fax: + 33 1 47 03 34 18 / work: + 33 1 47 03 33 72 / http://www.desmoulin-architectures.com/,bernard.desmoulin@wanadoo.fr,http://www.desmoulin-architectures.com/,"49, Rue du Faubourg Poissonnière, Paris, France",x,Architecture / Design Firm,Architizer
Pierre Marchand Architectes,x,contact@pmarchitectes.com,https://architizer.com/firms/pierre-marchand-architectes/,"12, Rue Lally-Tollendal, Paris, France",x,Architecture / Design Firm,Architizer
Margot-Duclot architectes associés,work: 0140216117,agence@mdaa.fr,http://mdaa.fr/index.php/projets,"168, Rue Saint Denis, Paris, France",x,Architecture / Design Firm,Architizer
ADEN ARCHITECTS,work: 09 51 58 84 37,contact@aden-architectes.fr,http://aden-architectes.fr/,"16, Rue Charles Delescluze, Paris, France",x,Architecture / Design Firm,Architizer
Agence Glenn Medioni,work: 003983614206,contact@glennmedioni.com,http://www.facebook.com/agenceglennmedioni,"34, Boulevard de Clichy, Paris, France",x,Architecture / Design Firm,Architizer
CYRIL CHENEBEAU,work: +33(0)981556425 / http://ccarchitecte.org/,cyril.chenebeau@gmail.com,http://ccarchitecte.org/,"3, Rue d'Autun, Nice, France",x,Architecture / Design Firm,Architizer
tectône architectes,work: +33 1 4 02 03 03,contact@tectone.fr,http://www.tectone.fr/,"34, Rue du Banquier, Paris, France",x,Architecture / Design Firm,Architizer
JACQUES BOUCHETON ARCHITECTES,x,contact@jba.archi,http://www.jba.archi/,"Nantes, France",x,Architecture / Design Firm,Architizer
Architecture François Scali,work: 33 147 70 27 71,contac@scali.com.fr,https://architizer.com/firms/architecture-francois-scali/,"Paris, France",x,Architecture / Design Firm,Architizer
Lionel Debs Architectures,x,contact@lioneldebsarchitectures.fr,http://www.lioneldebsarchitectures.fr/,"17, Rue de Rosheim, Strasbourg, France",x,Architecture / Design Firm,Architizer
BUMP architectes,x,bump.architectes@free.fr,http://www.bumparchitectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
JEAN-CHARLES ROBERT Architecte,cell: (+33) 689 447 577,jcra@me.com,http://jcra.fr,"Rennes, France",x,Architecture / Design Firm,Architizer
data architectes,work: +33 (0)4 37 57 45 54 / work: +33 (0)9 67 70 23 66,contact@dataarchitectes.com,http://dataarchitectes.com/,"Lyon, France",x,Architecture / Design Firm,Architizer
Fouquet Architecture Urbanisme,work: 0240719635,fau@fouquet-au.com,http://www.fouquet-au.com/index.php,"Nantes, France",x,Architecture / Design Firm,Architizer
Multiarchi,x,cc@multiarchi.com,http://www.multiarchi.com/,"Toulouse, France",x,Architecture / Design Firm,Architizer
Bandapar architecture +++,work: +33 9 83 28 61 77 (Bordeaux) / work: +33 1 44 83 05 02 (Paris),bdp@bandapar.net,http://www.bandapar.net/,"Amsterdam, Netherlands",x,Architecture / Design Firm,Architizer
Atelier du Vendredi,x,atelierduvendredi@gmail.com,http://www.atelierduvendredi.com/,"Rue Georges Mandel, Bordeaux, France",x,Architecture / Design Firm,Architizer
le bois basalte,work: 06 78 97 94 48,contact@le-bois-basalte.fr,http://cabanes-auvergne.fr/,"Manzat, France",x,Architecture / Design Firm,Architizer
Julien Joly Architecture,x,x,http://www.julienjoly.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Z Architecture,x,profitez@z-architecture.fr,http://www.z-architecture.fr/,"13, Quai Rambaud, Lyon, France",x,Architecture / Design Firm,Architizer
Leibar Seigneurin Architecture & Urbanisme,work: +33 (0)5 56 50 16 84,LSarchitectes@leibarseigneurin.com,https://architizer.com/firms/leibar-seigneurin-architecture-urbanisme/,"1, Impasse de la Pomme d'Or, Bordeaux, France",x,Architecture / Design Firm,Architizer
Vincent Rocques architecte,fax: +33 981702895 / work: +33 981827402 / http://vr-architecte.com/,x,http://vr-architecte.com/,"Annecy, France",x,Architecture / Design Firm,Architizer
Youri Favre Architecture,x,x,http://www.yourifavre.com/,"Lyon, France",x,Architecture / Design Firm,Architizer
SAIZVERDOUX,x,info@saizverdoux.com,http://fundacion.arquia.es/es/firmas/saizverdoux,"653, Gran Via de les Corts Catalanes, Barcelona, Spain",x,Architecture / Design Firm,Architizer
BUMPER Investments,work: +33 (0) 4 72 44 22 66 ,lydiaviallon@bumper-inv.fr,https://architizer.com/firms/bumper-investments/,"65, Rue de Créqui, Lyon, France",x,Architecture / Design Firm,Architizer
gadrat architectures et associée,work: 00 33 9 75 78 11 55,julien@gadrat-architectures.com,http://gadrat.wordpress.com/,"Bordeaux, France",x,Architecture / Design Firm,Architizer
Noémie Meney Architect,x,meney_noemie@yahoo.fr,http://noemie-meney.tumblr.com/,"Paris, France",x,Architecture / Design Firm,Architizer
PRESTIGE ARCHITECTURE,work: +33 (0)4 92 18 44 20,braccodirection@orange.fr,http://www.philippebracco.com/,"1390, Avenue du Campon, Le Cannet, France",x,Architecture / Design Firm,Architizer
S&AA,http://schweitzer-associes.com/,contact@schweitzer-associes.com,http://schweitzer-associes.com/,"Strasbourg, France",x,Architecture / Design Firm,Architizer
DGLA Architecture,x,judith.thepot@dgla.net,http://www.dgla.net/,"Montreuil, France",x,Architecture / Design Firm,Architizer
Philolumière - lighting design,work: +33 7 51 62 06 94,tarasova@philolumiere.fr,http://www.philolumiere.fr/,"2, Boulevard de la Corniche d'Or, Théoule-sur-Mer, France",x,Architecture / Design Firm,Architizer
SLA Architecture,work: +33 1 49 85 29 29,m.loyrette@groupe-slh.com,http://www.sla-architecture.com/,"28, Avenue du Petit Parc, Vincennes, France",x,Architecture / Design Firm,Architizer
TIRONI ARCHITECTURE,x,contact@tironi.archi,http://www.tironi.archi/,"Lyon, France",x,Architecture / Design Firm,Architizer
Kevin Velghe Architecte,x,x,https://architizer.com/firms/kevin-velghe-architecte/,"Bangor, France",x,Architecture / Design Firm,Architizer
3B Architecture,work: +33 981 07 29 68,3b-architecture@3b-architecture.fr,http://www.3b-architecture.fr/,"Nancy, France",x,Architecture / Design Firm,Architizer
Makewith,x,contact@makewith.fr,http://www.makewith.fr/,"Lyon, France",x,Architecture / Design Firm,Architizer
Taillandier Architectes Associés,work: 0033561148514,contact@starchitectes.com,https://www.starchitectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
PAJ'Architecture / PiK'studio,x,agence@pajarchitecture.com,http://www.pajarchitecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Jesús Torres García Architects,x,x,https://www.jesustorres.net/,"Paris, France",x,Architecture / Design Firm,Architizer
Virserius Studio,work: +1 212 337 2195 ,bonjour@virseriusstudio.com,http://www.virseriusstudio.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Bonsoir Paris,work: +33 1 49 18 13 13,kristen@bonsoirparis.fr,http://www.bonsoirparis.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Multi-Champs Architectes & Associés SAS,cell: +33 6 32057878 / work: +33 1 64234586,vallee.mcaa@architectes.org,http://www.club-oui-au-bois.com/membre/vallee-cyril-100154,"Paris, France",x,Architecture / Design Firm,Architizer
Groupe-6,work: 04 76 96 45 90 / work: 01 53 17 96 00,grenoble@groupe-6.com,http://groupe-6.com/,"Grenoble, France",x,Architecture / Design Firm,Architizer
Scheubel + Genty ARCHITECTES,work: (+33) 2 55 98 30 67,contact@scheubelgenty.com,http://www.scheubelgenty.com/,"1, Rue David d'Angers, Angers, France",x,Architecture / Design Firm,Architizer
MANO ARCHITECTURE,x,bonjour@manoarchitecture.com,http://manoarchitecture.com/,"58, Rue des Blancs Champs, Bagnolet, France",x,Architecture / Design Firm,Architizer
REHLICH architects,cell: +48 603 664 327,x,http://www.sabinarehlich.com/,"Copenhagen, Denmark",x,Architecture / Design Firm,Architizer
Lautrefabrique Architects,work: 00 33 (0) 476 648 577 / fax: 00 33 (0) 476 646 576,x,https://architizer.com/firms/lautrefabrique-architects/,"Chatte, France",x,Architecture / Design Firm,Architizer
Pierre Leblanc Architecte,cell: 0683583049 / work: 0297702228,contact@pierreleblanc-architecte.com,http://pierreleblanc-architecte.com/,"Guer, France",x,Architecture / Design Firm,Architizer
ENIA ARCHITECTES,work: + 33 (0) 1 84 03 04 10,studio@enia.fr,https://www.enia.fr,"46, Rue de Lagny, Montreuil, France",x,Architecture / Design Firm,Architizer
tana,x,x,http://www.tanadesign.eu,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier RVL,work: 02 47 70 16 00,rvl@atelierrvl.com,http://www.atelierrvl.com/,"71, Rue Trianon, Tours, France",x,Architecture / Design Firm,Architizer
peel architectes,cell: +33688785453,contact@peelarchitetes.com,http://peelarchitectes.com/,"26, Rue Rolland, Bordeaux, France",x,Architecture / Design Firm,Architizer
ERA Architects,work: +90 212 890 28 55,press@era-arch.com,http://www.era-arch.com/,"Moscow, Russia",x,Architecture / Design Firm,Architizer
JALC Architectes,x,contact@jalc.fr,http://www.jalc.fr/,"Nice, France",x,Architecture / Design Firm,Architizer
Atelier ar-chè,work: +33 9 50 83 85 67,contact@ar-che.com,http://www.ar-che.com/,"8, Rue du Château Landon, Paris, France",x,Architecture / Design Firm,Architizer
Tommaso Bernabò Silorata Architect,cell: +33602121631,t.bernabo@gmail.com,https://architizer.com/firms/tommaso-bernabo-silorata-architect/,"15, Rue Pétion, Paris, France",x,Architecture / Design Firm,Architizer
COMPLEXCITY,cell: 0033699831628,olivierbrouillard@complexcity.fr,http://www.complexcity.fr/,"28, Boulevard Poissonnière, Paris, France",x,Architecture / Design Firm,Architizer
agence Engasser & associés,work: +33 1 82 83 59 40,com@agenceengasser.com,http://agenceengasser.com/,"Sarreguemines, France",x,Architecture / Design Firm,Architizer
Agence PY Architecture,x,agence@py-architecture.fr,http://www.py-architecture.fr/,"Nantes, France",x,Architecture / Design Firm,Architizer
STK Architecture,work: 0033170744223,stkarchitecture@yahoo.fr,http://www.stk-architecture.fr/,"Montreuil, France",x,Architecture / Design Firm,Architizer
atelier 100architecture Mathieu Julien,work: +33 (0)247880193,mj@100architecture.fr,http://www.100architecture.fr/,"Rue Manet, Joué-lès-Tours, France",x,Architecture / Design Firm,Architizer
UNAA Brussels,cell: +32477390044,geoffroy.marichal@unaa.eu,http://www.unaa.eu/layout1.php?lid=49&pr=56#architecture&utm_source=architizer,"Lyon, France",x,Architecture / Design Firm,Architizer
TITAN,x,press@agencetitan.com,http://agencetitan.com/,"Nantes, France",x,Architecture / Design Firm,Architizer
AR-109 Architectes,work: +33 5 61 57 44 43,contact@ar109-architectes.fr,http://www.ar-architecture.eu/,"22, Rue Longue, Caixon, France",x,Architecture / Design Firm,Architizer
officine TNT ARCHITECTURE®,work: +33954305550 / cell: +684379971,contact@tntarchitecture.com,http://www.tntarchitecture.com,"55, Rue de Lancry, Paris, France",x,Architecture / Design Firm,Architizer
Nicola Mameli Architecture,work: +33 7 50 36 05 32,nm@nicolamameli.com,http://www.nicolamameli.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Federico Masotto Architecte,work: + 33 [0] 1 48 24 30 92,contact@federicomasotto.com,http://www.federicomasotto.com/,"Paris, France",x,Architecture / Design Firm,Architizer
aadd+,cell: 07 60 48 29 39 / work: 09 52 25 29 39,vduboelle@aaddarchitecte.com,http://www.aaddarchitecte.com/,"Charenton-le-Pont, France",x,Architecture / Design Firm,Architizer
SANE architecture,x,ward16@sanearchitecture.com,http://sanearchitecture.com/,"1, Rue des Gâtines, Paris, France",x,Architecture / Design Firm,Architizer
Paul Andreu architecte paris ,work: +33 1 58100515,carole.rami@paul-andreu.com,http://www.paul-andreu.com/,"Paris, France",x,Architecture / Design Firm,Architizer
ARCHITECTURE-ENERGIE,work: +0033 (0)479718014,dlaux@architecture-energie.com,http://www.architecture-energie.com/,"Sainte-Hélène-du-Lac, France",x,Architecture / Design Firm,Architizer
Househam Henderson,work: 020 7940 3170,london@househamhenderson.com,http://www.househamhenderson.com/,"Madrid, Spain",x,Architecture / Design Firm,Architizer
JBDB Architecture,x,jbdeboisseson@hotmail.fr,https://www.behance.net/jbdeboisse52b4,"Paris, France",x,Architecture / Design Firm,Architizer
MFR Architectes,work: +33 1 56 81 09 00,communication@mfr-architectes.com,http://www.mfr-architectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier-RS,cell: 06 85 92 41 51 ,contact@atelier-rs.net,https://architizer.com/firms/atelier-rs/,"Nice, France",x,Architecture / Design Firm,Architizer
Visualimo,x,x,http://www.visualimo.fr/,France,x,Architecture / Design Firm,Architizer
Olivier Delaittre architecte,work: +33148877272,olivier.delaittre@wanadoo.fr,http://www.architectes.org/portfolios/olivier-delaittre-architecte/,"Paris, France",x,Architecture / Design Firm,Architizer
PRarchitecture,work: +33(0)5 61 47 15 95,contact@prarchitecture.eu,http://www.prarchitecture.eu/,"36, Quai de Tounis, Toulouse, France",x,Architecture / Design Firm,Architizer
Jouin Manku,x,agence@jouinmanku.com,http://www.jouinmanku.com/,"8, Passage de la Bonne Graine, Paris, France",x,Architecture / Design Firm,Architizer
Atelier ARD,work: +33695151018,jeanclem@atelier-ard.com,http://www.facebook.com/atelierARD,"327, Avenue du Maréchal Lyautey, Biscarrosse, France",x,Architecture / Design Firm,Architizer
JCPCDR ARCHITECTURE,https://www.jcpcdr.com,contact@jcpcdr.com,https://www.jcpcdr.com,"Paris, France",x,Architecture / Design Firm,Architizer
BÖWE,cell: +965 5051 5119,x,https://boweandpartners.com/,Kuwait,x,Architecture / Design Firm,Architizer
Atelier Puzzler,work: +33 1 45 41 93 31,contact@atelier-puzzler.fr,https://architizer.com/firms/atelier-puzzler/,"7, Rue Edouard Jacques, Paris, France",x,Architecture / Design Firm,Architizer
Reid Brewin Architects,work: +442038712855 / work: +33140419430,studio@rb-architects.com,http://www.rb-architects.co.uk,"20, Eastbourne Terrace, Greater London, England, United Kingdom",x,Architecture / Design Firm,Architizer
Atelier Krauss Architecture,x,contact@krauss-architecture.com,http://www.krauss-architecture.com,"Saint-Denis, France",x,Architecture / Design Firm,Architizer
BUPA Architectures,work: 0951239385,communication@bupa.pro,http://www.bupa.pro/,"5, Rue Maurice, Bordeaux, France",x,Architecture / Design Firm,Architizer
anonyme,work: +33 954793312,jf@architecture-anonyme.com,http://www.architecture-anonyme.com/,"34, Rue de Turin, Paris, France",x,Architecture / Design Firm,Architizer
Studio Andrew Todd,x,contact@studioandrewtodd.com,http://www.studioandrewtodd.com,"Paris, France",x,Architecture / Design Firm,Architizer
Ellenamehl,work: + 33 1 46 58 17 73,lnamel@free.fr,http://www.lnamel.com,"Ivry-sur-Seine, France",x,Architecture / Design Firm,Architizer
PHILIPPE HURIER ARCHITECTURE,cell: 00 33 06 81 58 48 28,hurier.architecte@gmail.com,http://www.philippehurierarchitecture.com/,"127, Rue de Paris, Lille, France",x,Architecture / Design Firm,Architizer
Arte Charpentier Architectes,work: +33 (0)1 55 04 13 00,contact@arte-charpentier.com,http://www.arte-charpentier.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Drd Architecture,work: 02 35 71 21 81,agence@drd-architecture.fr,http://www.drd-architecture.fr/,"Upper Normandy, France",x,Architecture / Design Firm,Architizer
Christophe Lonca,cell: 0033665476818,agd.design@free.fr,http://christophe.lonca.free.fr/,"Libourne, France",x,Architecture / Design Firm,Architizer
Oblò,x,officina@oblo.cc,http://www.oblo.cc/,"Paris, France",x,Architecture / Design Firm,Architizer
goodnova godiniaux,work: +33980773369,bgodiniaux@hotmail.com,http://www.goodnova2.com/,"5, Rue du Grand Prieuré, Paris, France",x,Architecture / Design Firm,Architizer
atelier TEISSEIRE,work: +33 (0) 9 51 16 63 49,teisseire@architectes.org,https://architizer.com/firms/atelier-teisseire/,"Paris, France",x,Architecture / Design Firm,Architizer
Richard + Schoeller Architectes,work: 01 43 22 59 61,projets@richardschoeller.eu,http://www.richardschoeller.eu/,"14, Rue Charles V, Paris, France",x,Architecture / Design Firm,Architizer
PRA | PHILIPPE RIZZOTTI ARCHITECTS,cell: +33650017225,info@philipperizzotti.net,http://www.philipperizzotti.net/,"32, Rue de Paradis, Paris, France",x,Architecture / Design Firm,Architizer
Sébastien Rigaill / 3D Graphic Designer,cell: +33603184143,sbrigaill@gmail.com,http://www.rigaill.com/,"4, Impasse du Talus, Paris, France",x,Architecture / Design Firm,Architizer
L&D Intérieur,work: +33 (0)3 59 61 18 42 ,contact@ldinterieur.com,http://www.ldinterieur.com/,"62, Avenue Jean-Baptiste Lebas, Roubaix, France",x,Architecture / Design Firm,Architizer
Daile Design & Associates,x,info@rodshirdailestudio.com,https://www.dailedesignassociates.com,"Paris, France",x,Architecture / Design Firm,Architizer
Bio's Arts,x,biosarts@hotmail.fr,http://biosarts.canalblog.com/,"Massérac, France",x,Architecture / Design Firm,Architizer
Joshua Florquin Architecture,x,contact@joshuaflorquin.com,http://joshuaflorquin.com/,"Paris, France",x,Architecture / Design Firm,Architizer
DOMTHEORY™ Contemporain Interiors Studio,cell: +46 7 0 54 70 683 / cell: +33 (0)6 64 61 61 34,concierge@domtheory.com,https://architizer.com/firms/dom-theory/,"Paris, France",x,Architecture / Design Firm,Architizer
NP2F,work: 09 54 80 16 04 / http://www.np2f.com/,NP2F@NP2F.com,http://www.np2f.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Patrick Schierer,x,patrickschierer@gmail.com,https://architizer.com/firms/patrick-schierer/,"Paris, France",x,Architecture / Design Firm,Architizer
quentin fruchaud architectures ,work: 06 07 96 66 21,contact@qfarchitectures.fr,http://www.qfarchitectures.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Nides Pascal Joannidis,cell: +33 6 08 77 55 55 / work: +33 4 72 85 66 90,nides@nides.fr,http://www.nides.fr/,"77, Rue Duquesne, Lyon, France",x,Architecture / Design Firm,Architizer
HELENE LENNARTSSON ARCHITECTS,x,contact@helenelennartsson.com,http://www.helenelennartsson.com/,"Paris, France",x,Architecture / Design Firm,Architizer
BOIFFILS Architectures,work: +33142842000,contact@boiffils.com,http://www.boiffils.com/,"44, Rue d'Assas, Paris, France",x,Architecture / Design Firm,Architizer
Groupe Futura,work: 09 81 46 51 53,info@groupe-futura.com,http://www.groupe-futura.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Tomoo,work: +33673818585 / work: +33601332406,contact.tomoo@gmail.com,https://architizer.com/firms/tomoo/,"84, Avenue Jean Baptiste Clement, Boulogne-Billancourt, France",x,Architecture / Design Firm,Architizer
Angélique Chedemois Architecte,work: 06 73 44 78 37,angeliquechedemois@gmail.com,https://architizer.com/firms/angelique-chedemois-architecte/,"75, Quai de la Seine, Paris, France",x,Architecture / Design Firm,Architizer
satellite architectes,work: +33 1 83 64 64 03,studio@satellite-architectes.com,http://www.satellite-architectes.com/,"95, Rue Montmartre, Paris, France",x,Architecture / Design Firm,Architizer
atelier PRESLE Architectes,work: +33 6 74 28 99 38,contact@presle-architectes.com,http://www.presle-architectes.com/,"50, Rue Raymond Poincaré, Nancy, France",x,Architecture / Design Firm,Architizer
ATOME architecture,work: +33 02 41 52 61 69,atome.saumur@architectes.org,http://www.atome-architectes.fr/,"Saumur, France",x,Architecture / Design Firm,Architizer
PI/ARCHITECTURES,x,contact@pi-architectures.fr,http://www.pi-architectures.fr/,"Saint-Jacut-de-la-Mer, France",x,Architecture / Design Firm,Architizer
Arnaud Daniel Architect,work: +33 (0)1 58 83 44 48 ,arnaud.daniel@architectes.org,http://www.vadimm.fr/,"193, Avenue Achille Peretti, Neuilly-sur-Seine, France",x,Architecture / Design Firm,Architizer
Nina Safainia Architects,x,x,http://www.ninasafainia.com/,"Kronberg, Germany",x,Architecture / Design Firm,Architizer
Atelier d'Architecture CASA,work: +33 (0)473146175,contact@atelier-casa.fr,http://www.atelier-casa.fr/,"Clermont-Ferrand, France",x,Architecture / Design Firm,Architizer
ml design studio d'architecture,cell: +33 6 73 02 01 56,mathieu.labrosse@me.com,http://www.mathieulabrossedesign.eu.com/,"Annecy, France",x,Architecture / Design Firm,Architizer
