Title,Tele,Email,Web,Addy,Contact Source,Type,More Info,Lujo
08023 · Architects,work: +34934173723,info@08023.es,http://Blog.08023.es/,"3, Carrer de Copèrnic, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Susanna Cots,x,press@susannacots.com,http://www.susannacots.com,Hong Kong,Architizer,Architecture / Design Firm,,True
Mariano Molina Arquitecto,x,info@marianomolinaarquitecto.es,http://www.marianomolinaarquitecto.es,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
vitale studio,work: +34 964237724,info@vitale.es,http://www.vitale.es/en/news.html,"5, Carrer de Sagasta, Castelló de la Plana, Spain",Architizer,Architecture / Design Firm,,False
"JLBM, Architect",cell: 699968191,jbermejomartin@yahoo.com,http://www.jlbmarquitectura.com/,"San Cristobal de La Laguna, Spain",Architizer,Architecture / Design Firm,,False
COMA Arquitectura,cell: +34678972224,coma@comarquitectura.com,http://www.comarquitectura.com,"27, Carrer del Comerç, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
"Murado & Elvira, Architecture and Design",work: +34 91 726 73 63,mail@muradoelvira.com,http://www.muradoelvira.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
"JAIME SALVÁ, Architecture & Interior design",http://www.salvarq.com/,rrhh@salvarq.com,http://www.salvarq.com/,"15, Passeig del Born, Palma, Spain",Architizer,Architecture / Design Firm,,True
COLLECTIVE,work: 2114 0263,office@collective-studio.co,http://www.collective-studio.co/,"San Francisco, CA, United States",Architizer,Architecture / Design Firm,,False
Allaround Lab,x,hello@allaroundlab.com,http://allaroundlab.com,"2, Carrer de Santa Peronella, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Balzar Arquitectos,work: 0034 963607621,info@balzararquitectos.com,https://balzararquitectos.com/,"Carrer de Ribera, València, Spain",Architizer,Architecture / Design Firm,,True
ggarchitects,work: +34 963 360 233,info@ggarchitects.es,http://www.ggarchitects.es/,"Zapopan, Mexico",Architizer,Architecture / Design Firm,,False
HANS ABATON,x,info@hansabaton.com,http://hansabaton.com/,"42, Paseo del Prado, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Vírgula i,work: +351222014210,info@virgulai.com,http://www.virgulai.com/,"Porto, Portugal",Architizer,Architecture / Design Firm,,False
ABIBOO Studio,http://www.abiboo.com/,info@abiboo.com,http://www.abiboo.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
2260mm architects,work: 34933107064,info@2260mm.com,http://www.2260mm.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
planell.hirsch oficina de Arquitectura,x,planell.hirsch@gmail.com,http://planell-hirsch.blogspot.com.es/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
EGEA + RASO ARQUITECTURA,x,egeamasraso@gmail.com,https://architizer.com/firms/antonio-raso-arquitectura/,"Córdoba, Spain",Architizer,Architecture / Design Firm,,False
Iterare arquitectos,work: 0034 607204069 / work: 0034 696656787,contact@iterarearquitectos.com,http://www.iterarearquitectos.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
BARRU arkitektura SLP,work: +34 943 461247,xbb@xabierbarrutieta.com,http://barruarkitektura.com,"10, Amezketarrak Kalea, Donostia, Spain",Architizer,Architecture / Design Firm,,False
RUBIO BILBAO ARQUITECTOS,work: +34984398092,estudio@rubiobilbaoarquitectos.es,http://www.rubiobilbaoarquitectos.es/,"Gijón, Spain",Architizer,Architecture / Design Firm,,False
Cell Workshop Architecture,cell: +34 626 317 448,info@cellworkshop.com,http://www.cellworkshop.com/,"49, Calle Comunidad de Madrid, Las Rozas, Spain",Architizer,Architecture / Design Firm,,True
ZFA Architecture,work: +34 977 754 221,info@zfa.cat,http://www.zfa.cat/,"Reus, Spain",Architizer,Architecture / Design Firm,,False
Carrillo Arquitectos,work: +34 918708729,info@carrilloarquitectos.com,http://www.carrilloarquitectos.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
IF arquitectos,work: +34937909891,info@ifarquitectos.com,http://www.ifarquitectos.com/,"1, Plaça Fiveller, Mataró, Spain",Architizer,Architecture / Design Firm,,True
González Morgado arquitectura,work: (+34) 663165390 / work: (+34) 663165390,gonzalezmorgadoarquitectura@gmail.com,https://architizer.com/firms/gonzalez-morgado-arquitectura/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
CONTELL-MARTÍNEZ ARQUITECTOS,x,estudio@contell-martinez.com,https://architizer.com/firms/contell-martinez-arquitectos/,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
Built Architecture,work: (+34) 93 488 60 72,architecture@built.cat,http://www.built.cat,"5, Carrer Francesc Pérez Cabrero, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
deAbajoGarcia,x,a@deabajogarcia.com,http://www.deabajogarcia.com,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
t10team,work: 954226901,bs@t10team.com,http://www.t10team.com,"2, Calle San Pablo, Sevilla, Spain",Architizer,Architecture / Design Firm,,True
Ibiza Interiors || architect & designer,work: +34 697 757 494 / cell: +31(0)646243334,hola@ibizainteriors.com,http://www.ibizainteriors.com/,"Ibiza, Spain",Architizer,Architecture / Design Firm,,True
Carrascal-Blas,x,estudio@carrascalblas.com,https://architizer.com/firms/carrascal-blas/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
"Carlos Seoane, Arquitecto",http://www.cseoane.com,mail@cseoane.com,http://www.cseoane.com,"GA, Spain",Architizer,Architecture / Design Firm,,False
LiquenLAV,x,info@liquenlav.com,http://liquenlav.com/,"Almenar de Soria, Spain",Architizer,Architecture / Design Firm,,False
Archikubik S.L.P.,work: 0034 93 4152762,info@archikubik.com,http://www.archikubik.com/,"6, Carrer de Luis Antúnez, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
DOSIS,work: 0034 913579038,estudio@dosis.es,http://www.dosis.es/,"35, Calle Fuente del Romero, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Estudio arn Arquitectos,fax: +34 96 661 33 69 / work: +34 96 661 31 94,estudioarn@gmail.com,http://www.estudioarn.com/,"Elx, Spain",Architizer,Architecture / Design Firm,,False
Vegas&Mileto Architects,work: +34 963877971,vegas.mileto@gmail.com,http://resarquitectura.blogs.upv.es/,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
Margen-lab,x,info@margen-lab.com,http://www.margen-lab.com/,"Cambridge, MA, United States",Architizer,Architecture / Design Firm,,False
Fernando Nieto Architect,x,info@fernandonietoarchitect.com,http://fernandonietoarchitect.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Alejandro Giménez Architect,work: +34 951253412,estudio@alejandrogimenez.net,http://alejandrogimenez.net/,"67, Avenida Andalucía, Estepona, Spain",Architizer,Architecture / Design Firm,,True
OOKO Industriarquitectura,work: +34 913106118,ooko@ooko.es,http://www.ooko.es/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
PMA Studio,work: +34609584009,studio@pmastudio.com,http://www.pmastudio.com,"Palma, Spain",Architizer,Architecture / Design Firm,,True
BELLAFILARQUITECTES,work: 34932691288,amassaguearq@gmail.com,http://www.bellafilarquitectes.com/,"73, Ronda Carril, La Garriga, Spain",Architizer,Architecture / Design Firm,,True
URLO Studio,cell: +593 (02) 333 19 13,info@urlostudio.com,https://www.urlostudio.com,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
Baum Lab,x,x,https://architizer.com/firms/baum-lab/,"Seville, Spain",Architizer,Architecture / Design Firm,,True
Azpilicueta Arquitectura y Paisaje,x,x,https://architizer.com/firms/azpilicueta-arquitectura-y-paisaje/,"Calle de Irunlarrea, Pamplona, Spain",Architizer,Architecture / Design Firm,,True
Marc Rabassa │ Ral,x,info@ralarquitectes.com,http://ralarquitectes.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Norman Foster Foundation,work: +34 91 219 15 47 / http://www.normanfosterfoundation.org/,info@normanfosterfoundation.org,http://www.normanfosterfoundation.org/,"48, Calle del Monte Esquinza, Madrid, Spain",Architizer,Architecture / Design Firm,,False
narch,work: +34 93 424 88 87,info@narch.eu,http://narch.eu/,"165, Carrer de Tamarit, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
JORDI GINABREDA STUDIO,cell: 0034 636476036,info@jordiginabreda.com,http://www.jordiginabreda.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
beSTe arkitektura agentzia bat,x,ibon@beste.eus,https://www.beste.eus/,"Zarautz, Spain",Architizer,Architecture / Design Firm,,False
AleaOlea  architecture & landscape,x,info@aleaolea.com,https://architizer.com/firms/aleaolea/,"Tunis, Tunisia",Architizer,Architecture / Design Firm,,False
Estudio Peña Ganchegui,work: +34 943 275 107,info@ganchegui.com,http://www.ganchegui.com/,"Donostia, Spain",Architizer,Architecture / Design Firm,,True
Iñigo Bujedo Aguirre Photography,cell: +34617003447,ibujedoaguirre@gmail.com,http://www.archive.inigobujedo.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Hugo Mompó Architecture,http://hugomompo.com/,info@hugomompo.com,http://www.facebook.com/hugomompoarchitecture,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
Nimú,work: 913106118,margarita@nimu.com.es,http://www.nimu.com.es/,"Centro, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Escala Arquitectura,x,x,https://architizer.com/firms/escala-arquitectura/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
VZ ARQUITECTOS,work: +034 983 33 64 94 / http://www.vzarquitectos.com/,estudio@vzarquitectos.com,http://www.vzarquitectos.com/,"4, Calle Campanas, Valladolid, Spain",Architizer,Architecture / Design Firm,,False
Salas Architecture + Design,x,info@salasarc.com,http://www.salasarc.com/,"Zaragoza, Spain",Architizer,Architecture / Design Firm,,False
xulio turnes,work: 0034 881 81 93 75,info@domohomo.es,http://www.domohomo.es/,"Santiago de Compostela, Spain",Architizer,Architecture / Design Firm,,True
AmBau Taller D'Arquitectes,cell: +34 635510747 / work: +34 960 045 173,taller@ambau.es,http://www.ambau.es/,"10, Carrer de Quart, València, Spain",Architizer,Architecture / Design Firm,,True
VALDIVIESO ARQUITECTOS,x,estudio@valdiviesoarquitectos.com,http://www.valdiviesoarquitectos.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
bRijUNi architects,cell: +966(0)531987572,info@brijuniarquitectos.com,http://www.brijuniarquitectos.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Estudi E. Torres Pujol,cell: 0034 607 363 484,etorrespujol@gmail.com,http://etorrespujol.com/,"Palma, Spain",Architizer,Architecture / Design Firm,,False
ARKÍTERA SLP Sociedad de Arquitectura,work: +34963519968,arkitera@arkitera.es,http://www.arkitera.es/,"5, Avinguda de les Balears, València, Spain",Architizer,Architecture / Design Firm,,False
BETA.Ø architecture office,work: +34 913 914 145,info@beta-puntocero.com,http://www.beta-puntocero.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
antonioyconsuelo,x,info@antonioyconsuelo.com,http://www.antonioyconsuelo.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Calderon-Folch-Sarsanedas Arquitectes,work: +34 93 141 49 37 / http://www.cfs.cat.com/ / http://www.calderon-folch-sarsanedas.com/,cfs@cfs.cat,http://www.cfs.cat.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
INMAT Arquitectura,work: 34 968 23 66 09,inmat@inmat.es,http://www.inmat.es/,"6, Avenida Libertad, Murcia, Spain",Architizer,Architecture / Design Firm,,False
Castell-Pons architects,x,chpons@coaib.es,http://castell-pons.com/,"1, Carrer dels Àngels, Palma de Mallorca, Spain",Architizer,Architecture / Design Firm,,False
Glòria Duran Torrellas,work: +34 932 119 520 / cell: 656 855 362,gdurant@coac.net,http://www.gloriaduranarquitecte.com/,"Girona, CT, Spain",Architizer,Architecture / Design Firm,,False
Fuses Viader Architects,work: +34 972217458,fusesviader@coac.net,http://www.fusesviaderarquitectes.com,"5, Carrer Bonaventura Carreras I Peralta, Girona, Spain",Architizer,Architecture / Design Firm,,True
Gabriel Verd,work: +34 954 046 357,estudio@gabrielverd.com,http://www.gabrielverd.com/,"9, Avenida San Francisco Javier, Seville, Spain",Architizer,Architecture / Design Firm,,False
Noémie Meney Architect,x,meney_noemie@yahoo.fr,http://noemie-meney.tumblr.com/,"Paris, France",Architizer,Architecture / Design Firm,,False
yolandaolmo arquitecte,x,x,http://www.yolandaolmo.com/,"128, Passeig Sant Joan, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
villegasbueno arquitectura,x,oficina@villegasbueno.net,http://villegasbueno.net/,"3, Calle Perséfone, Seville, Spain",Architizer,Architecture / Design Firm,,False
Contextos de Arquitectura y Urbanismo,x,aresarquitecto@hotmail.es,http://www.contextosdearquitectura.com/,"12, Calle Regalado, Valladolid, Spain",Architizer,Architecture / Design Firm,,False
Vicente Picó Arquitectos,cell: 0034651466578,proyectos@vicentepicoarquitectos.com,http://www.vicentepicoarquitectos.com,"Museros, Spain",Architizer,Architecture / Design Firm,,True
AFAB Architecture,cell: 0041782550999,afabstudio@gmail.com,http://afabarchitecture.com,"Granada, Spain",Architizer,Architecture / Design Firm,,False
Stone Designs,work: (+34) 91 540 03 36,stone@stone-dsgns.com,http://www.stone-dsgns.es/en/,"10, Calle Segovia, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Paco Lago Interioriza,work: +34 951767356,hola@pacolago.com,https://www.pacolago.com/,"1, Camino de los Almendrales, Málaga, Spain",Architizer,Architecture / Design Firm,,False
Pablo Muñoz Payá Arquitectos,cell: (+34) 686523553,pablo@munozpaya.com,http://munozpaya.com,"40, Carrer Brigadier Algarra, Petrer, Spain",Architizer,Architecture / Design Firm,,True
Oficina urbana,x,info@oficinaurbana.studio,http://oficinaurbana.studio,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Estudio ARQUINUR RG. S.L.P.,work: +34922774101,info@arquinur.org,http://arquinur.blogspot.com/,"Santa Cruz de Tenerife, Spain",Architizer,Architecture / Design Firm,,True
JAVIER GARCIA ALDA architect,x,estudio@javiergarciaalda.com,http://javiergarciaalda.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Simona Garufi,cell: 0034628161732,simona@simonagarufi.com,http://simonagarufi.wix.com/arqdesign,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Teresa Sapey Studio,work: : +34 917 450 876,info@teresasapey.com,http://www.teresasapey.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
APARICIO Y ASOCIADOS ARQUITECTOS,work: (+34) 91 831 69 24,info@aparicioarquitectos.com,http://www.aparicioarquitectos.com/,"Alcobendas, Spain",Architizer,Architecture / Design Firm,,True
FRANCONI ARCHITECTS,fax: +34 932082391 / work: +34 932082391 / http://www.franconiarchitects.com,info@franconiarchitects.com,http://www.franconiarchitects.com/,"337, Carrer de Nàpols, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
CuellarStone,fax: +34 950 43 67 31 / work: +34 687012449 / work: +34 610717252 / work: +34 950121900,cuellar@cuellarstone.com,http://www.cuellarstone.com/index.html,"Cantoria, Spain",Architizer,Architecture / Design Firm,,True
BAT - Bilbao Architecture Team,work: +39 0882 602344 / fax: +34 944 343 834 / work: +34 946 077 857,bat@bat-architecture.com,http://www.bat-architecture.com/,"Via Turbacci, San Giovanni Rotondo, Italy",Architizer,Architecture / Design Firm,,False
Asenjo y Asociados,fax: +34 952 224 225 / work: +34 952 224 225,asenjo@asenjo.net,http://www.asenjo.net/,"Málaga, Spain",Architizer,Architecture / Design Firm,,False
Bryden Wood,work: +44 (0)20 7253 4772,poneill@brydenwood.co.uk,http://brydenwood.co.uk,"22, Cross Street, Singapore",Architizer,Architecture / Design Firm,,False
Diaz Cano Interior Design,work: 647 75 82 43,comunica@diazcano.com,http://www.diazcano.es/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
YLAB Arquitectos Barcelona,work: + 34 93 4864807,info@ylab.es,http://ylab.es/index.php/en/,"85, Carrer de Pallars, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Signature Group,work: 0034 871 570 524,info@signature-estate.com,http://www.signature-estate.com/,"Santa Ponsa, Spain",Architizer,Architecture / Design Firm,,True
Soma Arquitectura ImasD,work: 0034 881 964 880,colectivo@somaa.es,http://www.somaa.es/,"46, Rúa San Andrés, A Coruña, Spain",Architizer,Architecture / Design Firm,,True
OBMI,work: 305-537-7100,info@obmi.com,https://www.obmi.com/,Trinidad and Tobago,Architizer,Architecture / Design Firm,,False
castillo|martinez,work: +5072701480 / work: +34627304584,parq979@gmail.com,http://castillomartinez.net/,"Panama City, Panama",Architizer,Architecture / Design Firm,,False
Envés arquitectos,work: +34 916411277 / work: +34916411277,haz@envesarquitectos.com,http://masdearte.com/opinion/enves/,"Alcorcón, Spain",Architizer,Architecture / Design Firm,,True
PDP London Architects,work: +852 2899 2909 / work: +44 20 7730 1178 / work: +852 2899 2909,info@pdplondon.com,http://www.pdplondon.com/,"York, United Kingdom",Architizer,Architecture / Design Firm,,False
REHLICH architects,cell: +48 603 664 327,x,http://www.sabinarehlich.com/,"Copenhagen, Denmark",Architizer,Architecture / Design Firm,,False
"Beriot, Bernardini arquitectos",work: (+34) 91 356 33 54,beriotbernardini@gmail.com,http://beriotbernardini.blogspot.com.es/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Minimal Studio,cell: 660 67 18 78,info@minimalstudio.es,https://www.minimalstudio.es,"23, Carrer Gabriel Roca, Alcúdia, Spain",Architizer,Architecture / Design Firm,,True
Indissoluble,work: +34 934 12 10 75,info@indissoluble.com,http://indissoluble.com/fs/,"130, Carrer de Pujades, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
CABRÉ I DÍAZ ARQUITECTES,x,estudi@cabreidiazarquitectes.cat,http://www.cabreidiazarquitectes.cat/,"6, Carrer de Santa Joaquima, Sant Cugat del Vallès, Spain",Architizer,Architecture / Design Firm,,True
BLAU,work: +34696093131,info@b-l-a-u.com,http://www.b-l-a-u.com/,"5, Passatge dels Escudellers, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
"Arquitectos Madrid 2.0 | Arquitectura, Construcción y Reformas de Viviendas",work: 910414295,contacto@arquitectosmadrid20.com,http://www.arquitectosmadrid20.com/blog/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
FH2L Arquitectos,work: (+34) 915 777 620,info@fh2l.com,http://www.fh2l.com,"59, Calle de Alcalá, Madrid, Spain",Architizer,Architecture / Design Firm,,True
ARK Architects,x,info@ark-arquitectos.com,https://ark-architects.com,"Marbella, Spain",Architizer,Architecture / Design Firm,,True
IBIZALIVING,work: +34 971 332 911 / https://ibizaliving.net,arq@ibizaliving.net,https://ibizaliving.net,"Santa Eulària des Riu, Spain",Architizer,Architecture / Design Firm,,True
Generator Hostels,x,info@generatorhostels.com,http://generatorhostels.com/en/,"Venice, Italy",Architizer,Architecture / Design Firm,,False
404 Not Found|arquitectos slp,cell: +34 658 752 820 / work: +34 954 451 700,contact@404notfound.es,http://www.404notfound.es/,"Seville, Spain",Architizer,Architecture / Design Firm,,True
Grafeno Arquitectura,work: 0034961089766,info@grafenoarquitectura.es,http://www.grafenoarquitectura.es/,"37, Plaza Major, Torrent, Spain",Architizer,Architecture / Design Firm,,False
Reza Zaker Design Lab.,x,r.zaker@alice.it,https://architizer.com/firms/reza-zaker-design-lab/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Estudi Josep Cortina,work: 930073949,info@josepcortina.com,http://www.josepcortina.com/#/lang,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Hiruki studio,x,studio@hirukistudio.com,http://hirukistudio.com/Studio,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Mulet,work: 971 400 937,muletstudio@gmail.com,http://www.muletstudio.com/,"Palma, Spain",Architizer,Architecture / Design Firm,,False
SI architects,work: +34913623910 / Our site:,info@siarchitects.es,http://siarchitects.es/,"7, Calle Guadalquivir, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Househam Henderson,work: 020 7940 3170,london@househamhenderson.com,http://www.househamhenderson.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Arquitectura Veliz,work: +346753635,info@arquitecturaveliz.com,http://www.arquitecturaveliz.com/,"Derio, Spain",Architizer,Architecture / Design Firm,,True
estudio ATARIA,work: +34 913 113 180,info@estudioataria.com,http://www.mercataria.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Mirror Arquitectos,work: +34 91 314 91 29,email@mirrorarquitectos.com,http://www.mirrorarquitectos.com/,"Calle Biarrizh-F. Fresno-, Fuente del Fresno, Spain",Architizer,Architecture / Design Firm,,True
Sincro,work: +34934923958,sincro@bysincro.com,http://www.bysincro.com,"17, Carrer de Mèxic, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Bueso-Inchausti & Rein Arquitectos,work: +34 91 345 85 40,estudio@buesoinchausti-rein.com,http://www.buesoinchausti-rein.com/index_a.php,"23, Calle Apolonio Morales, Madrid, Spain",Architizer,Architecture / Design Firm,,False
LUITOM INTERIORISMO,work: +34910414295,luitom@luitom.es,https://www.luitominteriorismo.com/,"Calle del Alcalde Sáinz de Baranda, Madrid, Spain",Architizer,Architecture / Design Firm,,True
MG&AG Arquitectos Asociados,x,andres@mgagarquitectos.com,http://mgagarquitectos.com/website/,"Calle Historiador Joan Mari Cardona, Eivissa, Spain",Architizer,Architecture / Design Firm,,True
NEGRE INTERIOR DESIGN STUDIO,work: +34 971701662,info@negre.es,http://negre.es,"262, Avinguda de Joan Miró, Palma, Spain",Architizer,Architecture / Design Firm,,True
Denorte Project Management,cell: 616342241,proyectos@denorte.es,http://www.facebook.com/arquitectura.corporativa?sk=app_106171216118819&utm_source=architizer,"31, Calle Mayor, Cartagena, Spain",Architizer,Architecture / Design Firm,,False
Pedro Quero Arquitectos,x,info@pedroquero.net,http://www.pq-A.net/,"Oviedo, Spain",Architizer,Architecture / Design Firm,,False
Andreas Hummel Architekt,cell: 678975625,despacho@hummel-architekt.eu,http://andreashummelmallorca.com/,"13, Carrer Monti-Sion, Palma, Spain",Architizer,Architecture / Design Firm,,True
Zucchero Architects,x,info@zuccheroarchitects.com,http://www.zuccherodesign.com,"Balearic Islands, PM, Spain",Architizer,Architecture / Design Firm,,True
Intercon,work: T. +34 933 427 427,press@intercon.es,http://maps.google.es/maps/ms?msa=0&msid=207185550370332023242.0004d87206d72f8ba719c&dg=feature&utm_source=architizer,"Esplugues de Llobregat, Spain",Architizer,Architecture / Design Firm,,False
Paola Oliveras,cell: +12247158689,paola.oliveras.c@gmail.com,https://architizer.com/firms/paola-oliveras/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
the International Design Studio,x,x,http://www.the-ids.com,"San Diego, CA, United States",Architizer,Architecture / Design Firm,,False
Fausto Calvo,x,faustocalvo@live.it,http://www.faustocalvoarchitetto.com,"Granada, Spain",Architizer,Architecture / Design Firm,,False
PRÁCTICA,x,info@studiopractica.com,http://studiopractica.com,"Santiago, Chile",Architizer,Architecture / Design Firm,,False
WDCA | Worldwide Design & Communication Agency,work: +34 979 041 644,info@wd-ca.com,http://wd-ca.com,Spain,Architizer,Architecture / Design Firm,,True
IN OUT STUDIO,cell: +34672720258 / https://inoutstudio.com/en/,hola@inoutstudio.com,https://inoutstudio.com/en/,"Las Palmas, CN, Spain",Architizer,Architecture / Design Firm,,False
e2b arquitectos,x,info@e2barquitectos.com,http://www.e2barquitectos.com,"Alicante, Spain",Architizer,Architecture / Design Firm,,True
ADORAS atelier architecture,work: 965 14 53 10,mail@adoras.es,http://adoras.es,"Alicante, Spain",Architizer,Architecture / Design Firm,,True
"AS-BUILT arquitectura, interiorismo, infografía",cell: +34620811330 / cell: +34633719783 / work: (+34) 881 946080,pablorios@as-built.es,http://www.as-built.es/,"23, Rúa Pardo Baixo, Ferrol, Spain",Architizer,Architecture / Design Firm,,False
Veinteporveinte Estudio,other: 00 34 635714154  / work: 00 34 647800864,info@veinteporveinte.com,http://www.veinteporveinte.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
ANDREA MUÑOZ DISEÑO,x,info@yoursite.com,http://www.andreamunozdiseno.com/,"León, Spain",Architizer,Architecture / Design Firm,,True
TRIIIO,cell: (+34)697289121,interior@TRIIIO.it,http://www.triiio.it/,"Bergamo, Italy",Architizer,Architecture / Design Firm,,False
VANDA DESIGNERS,x,valentina@vandadesigners.com,http://www.vandadesigners.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Antonio Tort. Architect,work: +34 982 243 097,correo@atort.com,http://www.atort.com/,"Lugo, Spain",Architizer,Architecture / Design Firm,,True
Sergio Carrillo Martínez,x,sergio.carrillo73@gmail.com,https://architizer.com/firms/sergio-carrillo-martinez/,"Lorca, Spain",Architizer,Architecture / Design Firm,,True
Alonso-Sosa,work: +34 928430530,info@alonso-sosa.com,http://www.alonso-sosa.com/,"1, Calle Sor Ana, Santa Brígida, Spain",Architizer,Architecture / Design Firm,,True
DISEÑO&ARQUITECTURA,x,info@disenoiarquitecturaestudio.com,https://architizer.com/firms/modular-homes-tech/,"Rúa Manuel Azaña, A Coruña, Spain",Architizer,Architecture / Design Firm,,True
ESTEVA BARCELONA,work: (34) 937720198,x,https://architizer.com/firms/esteva-barcelona/,"Castellbisbal, Spain",Architizer,Architecture / Design Firm,,False
Cgf,x,x,http://www.carlosgarciafernandez.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
mjv arquitectos,work: +34 955 82 42 68,estudio@mjvarquitectos.com,https://mjvarquitectos.com/,"2, Plaza Cardenal Spinola, El Saucejo, Spain",Architizer,Architecture / Design Firm,,True
irori arquitectura,x,info@irori.es,http://www.irori.es,"14, Rúa do Ecuador, Vigo, Spain",Architizer,Architecture / Design Firm,,True
Builla. Architecture and Urban Design,x,projects@builla.org,http://builla.org,"Lima, Peru",Architizer,Architecture / Design Firm,,False
estudio CO–A,work: +34 934156979 / work: +34 646 244 018,hola@estudiocoa.com,http://estudiocoa.com,"298, Carrer de Còrsega, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
ELE Arkitektura,x,eduardolandia@elearkitektura.com,https://www.elearkitektura.com/,"Biscay, PV, Spain",Architizer,Architecture / Design Firm,,False
POA Estudio,work: +34665337363,hola@poaestudio.com,https://poaestudio.com/,"137, Calle de Santa Engracia, Madrid, Spain",Architizer,Architecture / Design Firm,,False
rubial·sanchez,x,arquitectos@rubial-sanchez.com,http://rubial-sanchez.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Esculpir el Aire / José Ángel Ruiz Cáceres,x,esculpirelaire@ctaa.net,http://esculpirelaire.com/,"31, Avenida Juan Sanchis Candela, Alicante, Spain",Architizer,Architecture / Design Firm,,True
INDAStudio,x,info@indastudiobcn.com,http://www.indastudiobcn.com/es/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Est&Saton,cell: +34 669221746,estsaton@gmail.com,http://estsatonenparalelo.wordpress.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Dezain Architects,cell: +34687806144,dezainarchitects@gmail.com,http://www.dezainarchitects.com/,"Girona, Spain",Architizer,Architecture / Design Firm,,False
A Pinch of Design,work: 00385912534995,info@pinchofdesign.com,http://pinchofdesign.com/,"Málaga, Spain",Architizer,Architecture / Design Firm,,False
Ignacio Borrego Arquitectos,cell: +34607799542,estudio@ignacioborrego.com,http://www.ignacioborrego.com/,"1, Calle Valdegovía, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Estudio de Arquitectura e Ingeniería Mirtolini,cell: 0034-663718740,massimo@eaimirtolini.com,http://www.eaimirtolini.com/,"16, Carrer d'Àngel Guimerà, Sant Just Desvern, Spain",Architizer,Architecture / Design Firm,,True
